neighborhood,baseline,closures_2020_21,openings_2022_25,closure_rate,recovery_rate,resilience,median_income,pct_poc,population,pct_white,pct_black,pct_asian,pct_latina_o,pct_other
Outer Richmond,4286,807,1467,0.18828744750349977,0.34227718152123193,0.15398973401773217,135499.45454545456,0.5942700174805331,44049.0,0.40572998251946696,0.019228586347022635,0.41762582578492136,0.08504165815342006,0.008717564530409318
Lone Mountain/USF,1596,290,534,0.18170426065162906,0.33458646616541354,0.15288220551378448,159541.5,0.47452248733752367,16387.0,0.5254775126624763,0.03447855007017758,0.2190760969060841,0.12296332458656252,0.033013974491975344
Oceanview/Merced/Ingleside,1702,343,600,0.20152761457109283,0.3525264394829612,0.15099882491186836,131824.0,0.8742026645135245,24770.0,0.12579733548647556,0.06842955187727089,0.5911586596689544,0.1763019781994348,0.005692369802180057
Sunset/Parkside,6567,1232,2184,0.18760469011725292,0.3325719506624029,0.14496726054515,144751.625,0.7008945729242595,75455.0,0.2991054270757405,0.012364985753097872,0.5378570008614406,0.08324166721887218,0.005857796037373269
Mission,11282,2283,3916,0.20235773798971812,0.3471015777344442,0.1447438397447261,147945.75,0.6104242067939225,54431.0,0.38957579320607744,0.04956734213958957,0.16334441770314712,0.33041832779114844,0.01339310319487057
Haight Ashbury,2476,501,847,0.20234248788368336,0.3420840064620355,0.13974151857835215,197747.0,0.3215973003374578,17780.0,0.6784026996625422,0.0265466816647919,0.12677165354330708,0.07238470191226097,0.0062429696287964005
Russian Hill,2607,516,870,0.19792865362485615,0.333716915995397,0.13578826237054084,161533.2857142857,0.39700219207299015,16879.0,0.6029978079270099,0.011908288405711238,0.21997748681793944,0.11173647727945968,0.006102257242727649
Bernal Heights,2957,612,986,0.20696652012174502,0.33344606019614476,0.12647954007439974,163135.0,0.587381193124368,24725.0,0.41261880687563196,0.030495449949443882,0.13828109201213346,0.3304752275025278,0.004691607684529828
West of Twin Peaks,3946,817,1309,0.20704510897110998,0.33172833248859607,0.12468322351748609,189274.57142857142,0.5639878531532997,36882.0,0.4360121468467003,0.021555230193590368,0.3620736402581205,0.10210943007429098,0.014126131988503878
Presidio,699,150,236,0.2145922746781116,0.3376251788268956,0.12303290414878398,236190.0,0.45351890756302526,3808.0,0.5464810924369747,0.009191176470588236,0.05409663865546219,0.22347689075630253,0.0063025210084033615
Seacliff,143,34,51,0.23776223776223776,0.35664335664335667,0.11888111888111891,246635.0,0.4324100868127325,2419.0,0.5675899131872675,0.011988424968995453,0.2567176519222819,0.06696982224059529,0.0037205456800330715
Western Addition,2274,464,727,0.2040457343887423,0.3197009674582234,0.11565523306948111,137475.4,0.6303815825251518,22066.0,0.3696184174748482,0.13939998187256414,0.2800688842563219,0.1098975799873108,0.008701169219613886
Inner Sunset,2884,592,918,0.20527045769764216,0.3183079056865465,0.11303744798890433,163972.5,0.5636304205709305,27534.0,0.4363695794290695,0.021428052589525678,0.335730369724704,0.12653446647780925,0.0087528147018232
Noe Valley,2987,626,957,0.20957482423836626,0.32038834951456313,0.11081352527619687,216642.16666666666,0.411673952172795,23334.0,0.588326047827205,0.01979943430187709,0.1843661609668295,0.11258249764292448,0.0036427530641981658
Inner Richmond,2731,607,888,0.22226290735994142,0.3251556206517759,0.10289271329183447,169155.0,0.5368441834065446,20261.0,0.4631558165934554,0.014017077143280194,0.35590543408518827,0.09584916835299344,0.006416267706431075
Hayes Valley,3355,746,1077,0.22235469448584202,0.3210134128166915,0.09865871833084947,133687.6,0.48349780701754386,18240.0,0.5165021929824561,0.07319078947368421,0.19923245614035087,0.12571271929824562,0.02987938596491228
Pacific Heights,3815,854,1218,0.22385321100917432,0.3192660550458716,0.09541284403669725,192135.88888888888,0.3672963091922006,22976.0,0.6327036908077994,0.04156511142061281,0.17957869080779945,0.08400069637883008,0.002437325905292479
Twin Peaks,614,144,199,0.23452768729641693,0.3241042345276873,0.08957654723127034,170413.0,0.4772929652715939,7861.0,0.5227070347284061,0.047576644192850785,0.2165118941610482,0.15990332018827122,0.003943518636305814
Potrero Hill,3285,751,1030,0.22861491628614916,0.3135464231354642,0.08493150684931505,218959.6,0.5013904158313394,15463.0,0.4986095841686607,0.024704132445191748,0.24620060790273557,0.12675418741511996,0.017590377029037055
North Beach,2808,576,809,0.20512820512820512,0.2881054131054131,0.08297720797720798,132500.4,0.5966773941028094,11497.0,0.40332260589719054,0.049926067669826914,0.3514829955640602,0.12959902583282595,0.010872401496042445
Marina,4470,990,1350,0.2214765100671141,0.30201342281879195,0.08053691275167785,217669.22222222222,0.2722791050436102,23733.0,0.7277208949563898,0.0049719799435385325,0.11296506973412548,0.09425694181098049,0.00366578182277841
South of Market,9690,1892,2632,0.19525283797729617,0.27162022703818367,0.0763673890608875,118240.57142857143,0.7295732447971496,24698.0,0.2704267552028504,0.1000485869301158,0.41335330796015873,0.1639404000323913,0.01279455826382703
Chinatown,4351,943,1261,0.21673178579636865,0.2898184325442427,0.07308664674787407,41245.0,0.9020088579563429,12644.0,0.09799114204365707,0.014077823473584309,0.8131920278392913,0.04223347042075293,0.0012654223347042075
Nob Hill,3794,883,1157,0.2327358987875593,0.30495519240906693,0.07221929362150764,101869.44444444444,0.5845872651534473,23526.0,0.4154127348465527,0.04526906401428207,0.33320581484315226,0.12441554025333673,0.017172490011051603
Financial District/South Beach,21879,4984,6513,0.22779834544540428,0.2976827094474153,0.06988436400201103,185568.6,0.616868550919695,24519.0,0.38313144908030505,0.02002528651250051,0.46070394388025615,0.09307067988090868,0.0012643256250254905
Presidio Heights,1913,421,535,0.22007318348144275,0.279665446941976,0.05959226346053323,186199.66666666666,0.3892576946288473,9942.0,0.6107423053711527,0.006336753168376584,0.22832428082880707,0.10239388453027559,0.0029169181251257293
Treasure Island,600,175,158,0.2916666666666667,0.2633333333333333,-0.028333333333333377,91750.0,0.7037822552138565,2829.0,0.2962177447861435,0.19653587840226228,0.07988688582537999,0.31636620714033226,0.003181336161187699
